시점,구분(1),부문별미분양현황,시도별미분양현황,규모별미분양현황
2017,계,"57,330",-,"57,330"
,민간부문,"57,330",-,-
,공공부문,0,-,-
,(준공후),"11,720",-,-
,전국,-,"57,330",-
,서울특별시,-,45,-
,부산광역시,-,"1,920",-
,대구광역시,-,126,-
,인천광역시,-,"1,549",-
,광주광역시,-,707,-
,대전광역시,-,759,-
,울산광역시,-,855,-
,경기도,-,"8,793",-
,세종특별자치시,-,0,-
,강원도,-,"2,816",-
,충청북도,-,"4,980",-
,충청남도,-,"11,283",-
,전라북도,-,"1,881",-
,전라남도,-,627,-
,경상북도,-,"7,630",-
,경상남도,-,"12,088",-
,제주도,-,"1,271",-
,수도권,-,"10,387",-
,60㎡이하,-,-,"9,919"
,지방,-,"46,943",-
,60-85㎡,-,-,"41,709"
,85㎡초과,-,-,"5,702"
2018,계,"58,838",-,"58,838"
,민간부문,"58,838",-,-
,공공부문,0,-,-
,(준공후),"16,738",-,-
,전국,-,"58,838",-
,서울특별시,-,27,-
,부산광역시,-,"4,153",-
,대구광역시,-,362,-
,인천광역시,-,"1,324",-
,광주광역시,-,58,-
,대전광역시,-,"1,183",-
,울산광역시,-,997,-
,경기도,-,"4,968",-
,세종특별자치시,-,0,-
,강원도,-,"5,736",-
,충청북도,-,"4,560",-
,충청남도,-,"7,763",-
,전라북도,-,"1,607",-
,전라남도,-,"1,663",-
,경상북도,-,"8,995",-
,경상남도,-,"14,147",-
,제주도,-,"1,295",-
,수도권,-,"6,319",-
,60㎡이하,-,-,"9,308"
,지방,-,"52,519",-
,60-85㎡,-,-,"44,142"
,85㎡초과,-,-,"5,388"
2019,계,"47,797",-,"47,797"
,민간부문,"47,797",-,-
,공공부문,0,-,-
,(준공후),"18,065",-,-
,전국,-,"47,797",-
,서울특별시,-,151,-
,부산광역시,-,"2,115",-
,대구광역시,-,"1,790",-
,인천광역시,-,966,-
,광주광역시,-,148,-
,대전광역시,-,724,-
,울산광역시,-,"1,269",-
,경기도,-,"5,085",-
,세종특별자치시,-,0,-
,강원도,-,"5,945",-
,충청북도,-,"1,672",-
,충청남도,-,"5,569",-
,전라북도,-,"1,043",-
,전라남도,-,"1,857",-
,경상북도,-,"6,122",-
,경상남도,-,"12,269",-
,제주도,-,"1,072",-
,수도권,-,"6,202",-
,60㎡이하,-,-,"9,044"
,지방,-,"41,595",-
,60-85㎡,-,-,"34,920"
,85㎡초과,-,-,"3,833"
2020,계,"19,005",-,"19,005"
,민간부문,"19,005",-,-
,공공부문,0,-,-
,(준공후),"12,006",-,-
,전국,-,"19,005",-
,서울특별시,-,49,-
,부산광역시,-,973,-
,대구광역시,-,280,-
,인천광역시,-,466,-
,광주광역시,-,31,-
,대전광역시,-,638,-
,울산광역시,-,468,-
,경기도,-,"1,616",-
,세종특별자치시,-,0,-
,강원도,-,"3,115",-
,충청북도,-,273,-
,충청남도,-,"2,510",-
,전라북도,-,661,-
,전라남도,-,"1,059",-
,경상북도,-,"2,154",-
,경상남도,-,"3,617",-
,제주도,-,"1,095",-
,수도권,-,"2,131",-
,60㎡이하,-,-,"4,640"
,지방,-,"16,874",-
,60-85㎡,-,-,"13,665"
,85㎡초과,-,-,700
2021,계,"17,710",-,"17,710"
,민간부문,"17,710",-,-
,공공부문,0,-,-
,(준공후),"7,449",-,-
,전국,-,"17,710",-
,서울특별시,-,54,-
,부산광역시,-,949,-
,대구광역시,-,"1,977",-
,인천광역시,-,425,-
,광주광역시,-,27,-
,대전광역시,-,460,-
,울산광역시,-,397,-
,경기도,-,"1,030",-
,세종특별자치시,-,30,-
,강원도,-,"1,648",-
,충청북도,-,304,-
,충청남도,-,"1,012",-
,전라북도,-,133,-
,전라남도,-,"2,163",-
,경상북도,-,"4,386",-
,경상남도,-,"1,879",-
,제주도,-,836,-
,수도권,-,"1,509",-
,지방,-,"16,201",-
,60-85㎡,-,-,"12,502"
,85㎡초과,-,-,"1,019"
,40㎡이하,-,-,"1,710"
,40-60㎡,-,-,"2,479"
2022,계,"68,107",-,"68,107"
,민간부문,"68,107",-,-
,공공부문,0,-,-
,(준공후),"7,518",-,-
,전국,-,"68,107",-
,서울특별시,-,953,-
,부산광역시,-,"2,640",-
,대구광역시,-,"13,445",-
,인천광역시,-,"2,494",-
,광주광역시,-,291,-
,대전광역시,-,"3,239",-
,울산광역시,-,"3,570",-
,경기도,-,"7,588",-
,세종특별자치시,-,6,-
,강원도,-,"2,648",-
,충청북도,-,"3,225",-
,충청남도,-,"8,509",-
,전라북도,-,"2,520",-
,전라남도,-,"3,029",-
,경상북도,-,"7,674",-
,경상남도,-,"4,600",-
,제주도,-,"1,676",-
,수도권,-,"11,035",-
,지방,-,"57,072",-
,60-85㎡,-,-,"50,589"
,85㎡초과,-,-,"7,092"
,40㎡이하,-,-,"2,421"
,40-60㎡,-,-,"8,005"
